FED,Mode,day,zthour,Binary_Pellets
FED008,empty,-3,6,5.0
FED008,empty,-3,7,7.0
FED008,empty,-3,9,10.0
FED008,empty,-3,10,7.0
FED008,empty,-3,11,6.0
FED008,empty,-3,12,10.0
FED008,empty,-3,13,11.0
FED008,empty,-3,14,6.0
FED008,empty,-3,15,9.0
FED008,empty,-3,16,16.0
FED008,empty,-3,17,7.0
FED008,empty,-3,18,16.0
FED008,empty,-3,19,7.0
FED008,empty,-3,21,11.0
FED008,empty,-3,22,8.0
FED008,empty,-3,23,2.0
FED008,empty,-2,1,10.0
FED008,empty,-2,2,9.0
FED008,empty,-2,4,2.0
FED008,empty,-2,5,6.0
FED008,empty,-2,7,5.0
FED008,empty,-2,8,4.0
FED008,empty,-2,9,16.0
FED008,empty,-2,10,5.0
FED008,empty,-2,11,11.0
FED008,empty,-2,12,5.0
FED008,empty,-2,13,15.0
FED008,empty,-2,14,21.0
FED008,empty,-2,15,13.0
FED008,empty,-2,16,13.0
FED008,empty,-2,17,24.0
FED008,empty,-2,18,11.0
FED008,empty,-2,20,8.0
FED008,empty,-2,22,19.0
FED010,empty,-5,0,4.0
FED010,empty,-5,1,7.0
FED010,empty,-5,2,7.0
FED010,empty,-5,3,7.0
FED010,empty,-5,4,7.0
FED010,empty,-5,5,10.0
FED010,empty,-5,6,15.0
FED010,empty,-5,7,5.0
FED010,empty,-5,8,14.0
FED010,empty,-5,9,7.0
FED010,empty,-5,10,10.0
FED010,empty,-5,11,13.0
FED010,empty,-5,12,10.0
FED010,empty,-5,13,17.0
FED010,empty,-5,14,9.0
FED010,empty,-5,15,13.0
FED010,empty,-5,16,24.0
FED010,empty,-5,17,18.0
FED010,empty,-5,18,14.0
FED010,empty,-5,19,13.0
FED010,empty,-5,20,14.0
FED010,empty,-5,21,7.0
FED010,empty,-5,22,12.0
FED010,empty,-5,23,5.0
FED010,empty,-4,0,6.0
FED010,empty,-4,1,2.0
FED010,empty,-4,2,5.0
FED010,empty,-4,3,8.0
FED010,empty,-4,5,7.0
FED010,empty,-4,6,7.0
FED010,empty,-4,7,5.0
FED010,empty,-4,8,8.0
FED010,empty,-4,9,15.0
FED010,empty,-4,10,9.0
FED010,empty,-4,11,10.0
FED010,empty,-4,12,16.0
FED010,empty,-4,13,15.0
FED010,empty,-4,14,12.0
FED010,empty,-4,15,13.0
FED010,empty,-4,16,15.0
FED010,empty,-4,17,19.0
FED010,empty,-4,18,13.0
FED010,empty,-4,19,8.0
FED010,empty,-4,20,15.0
FED010,empty,-4,21,8.0
