device_number,behavior,hoursfloor,event
12,Seeking,-63,6.0
12,Seeking,-62,4.0
12,Seeking,-61,1.0
12,Seeking,-60,4.0
12,Seeking,-58,2.0
12,Seeking,-57,2.0
12,Seeking,-56,2.0
12,Seeking,-51,1.0
12,Seeking,-50,1.0
12,Seeking,-47,1.0
12,Seeking,-46,1.0
12,Seeking,-43,1.0
12,Seeking,-41,1.0
12,Seeking,-37,1.0
12,Seeking,-36,2.0
12,Seeking,-35,1.0
12,Seeking,-34,2.0
12,Seeking,-32,4.0
12,Seeking,-30,1.0
12,Seeking,-28,1.0
12,Seeking,-21,1.0
12,Seeking,-18,1.0
12,Seeking,-17,3.0
12,Seeking,-16,2.0
12,Seeking,-15,1.0
12,Seeking,-14,4.0
12,Seeking,-13,1.0
12,Seeking,-12,4.0
12,Seeking,-11,4.0
12,Seeking,-9,2.0
12,Seeking,-8,3.0
12,Seeking,1,2.0
12,Seeking,3,5.0
12,Seeking,4,2.0
12,Seeking,5,3.0
12,Seeking,6,4.0
12,Seeking,7,4.0
12,Seeking,8,9.0
12,Seeking,9,4.0
12,Seeking,10,6.0
12,Seeking,11,8.0
12,Seeking,12,1.0
12,Seeking,13,1.0
12,Seeking,14,12.0
12,Seeking,15,6.0
12,Seeking,16,11.0
12,Seeking,18,9.0
12,Seeking,21,6.0
12,Seeking,23,4.0
12,Seeking,25,4.0
12,Seeking,26,1.0
12,Seeking,27,6.0
12,Seeking,29,3.0
12,Seeking,30,3.0
12,Seeking,31,11.0
12,Seeking,32,3.0
12,Seeking,33,10.0
12,Seeking,34,6.0
12,Seeking,35,4.0
12,Seeking,36,5.0
12,Seeking,38,6.0
12,Seeking,39,2.0
12,Seeking,40,8.0
12,Seeking,41,1.0
12,Seeking,42,8.0
12,Seeking,44,1.0
12,Seeking,45,2.0
12,Seeking,47,1.0
12,Seeking,48,1.0
12,Seeking,49,7.0
12,Seeking,50,2.0
12,Seeking,51,1.0
12,Seeking,52,4.0
12,Seeking,54,6.0
12,Seeking,55,6.0
12,Seeking,56,4.0
12,Seeking,57,2.0
