Time,553,549,561,EB0,E95,EA2,E94,E8D,hour,date,day,zthour
2025-01-10 03:00:00,13.5,0.958,0.959,4.75,17.9,15.3,2.31,26.2,3,2025-01-10,5,11
2025-01-10 04:00:00,18.7,11.3,16.4,33.2,24.2,3.43,6.98,21.7,4,2025-01-10,5,12
2025-01-10 05:00:00,31.2,19.5,16.9,32.4,29.1,37.3,18.3,32.2,5,2025-01-10,5,13
2025-01-10 06:00:00,24.0,16.5,2.27,10.2,27.5,22.5,27.0,35.9,6,2025-01-10,5,14
2025-01-10 07:00:00,4.33,1.57,0.298,0.354,21.8,5.25,29.4,3.49,7,2025-01-10,5,15
2025-01-10 08:00:00,16.6,12.7,14.9,8.83,7.08,18.5,2.95,12.7,8,2025-01-10,5,16
2025-01-10 09:00:00,2.8,0.161,0.0318,4.64,0.919,0.0244,0.123,0.0244,9,2025-01-10,5,17
2025-01-10 10:00:00,2.87,0.618,0.298,16.9,8.64,0.0244,1.41,0.879,10,2025-01-10,5,18
2025-01-10 11:00:00,4.16,3.23,4.23,0.0244,1.37,0.0244,0.045,4.89,11,2025-01-10,5,19
2025-01-10 12:00:00,8.59,0.396,0.0244,3.17,23.6,1.32,19.6,3.76,12,2025-01-10,5,20
2025-01-10 13:00:00,20.3,2.24,0.987,0.053,1.11,7.18,4.15,0.17,13,2025-01-10,5,21
2025-01-10 14:00:00,1.97,0.109,0.0244,10.8,5.47,0.0244,4.34,2.85,14,2025-01-10,5,22
2025-01-10 15:00:00,11.6,0.189,2.09,0.988,5.92,1.3,0.122,0.135,15,2025-01-10,5,23
2025-01-10 16:00:00,16.4,12.9,14.2,22.5,27.2,17.6,13.2,23.0,16,2025-01-10,6,0
2025-01-10 17:00:00,12.7,0.0244,1.73,17.4,1.68,9.42,1.44,5.82,17,2025-01-10,6,1
2025-01-10 18:00:00,10.1,1.55,2.32,10.4,30.1,4.92,2.82,6.27,18,2025-01-10,6,2
2025-01-10 19:00:00,31.8,16.1,21.5,17.7,18.8,15.7,35.3,34.0,19,2025-01-10,6,3
2025-01-10 20:00:00,24.8,3.69,3.69,21.8,18.1,17.6,9.18,9.66,20,2025-01-10,6,4
2025-01-10 21:00:00,35.2,4.6,4.5,7.85,30.4,27.0,36.4,12.8,21,2025-01-10,6,5
2025-01-10 22:00:00,35.6,15.8,8.48,36.7,26.8,17.9,30.1,22.5,22,2025-01-10,6,6
2025-01-10 23:00:00,18.3,20.8,32.7,42.9,36.4,1.12,26.4,13.4,23,2025-01-10,6,7
2025-01-11 00:00:00,23.1,27.8,20.7,35.7,31.5,0.531,19.1,22.4,0,2025-01-11,6,8
2025-01-11 01:00:00,8.78,5.45,2.84,16.7,14.7,20.8,1.23,2.74,1,2025-01-11,6,9
2025-01-11 02:00:00,18.7,0.414,4.36,1.08,15.7,3.38,1.29,27.0,2,2025-01-11,6,10
2025-01-11 03:00:00,15.4,1.38,10.7,10.4,14.9,15.0,7.86,16.1,3,2025-01-11,6,11
2025-01-11 04:00:00,21.2,11.2,9.67,40.7,12.9,10.6,7.64,16.2,4,2025-01-11,6,12
